query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,6.4968039989471436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Who is considered the "Father of the United States"?,27.436885595321655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economic,2.488535165786743,0.16,0.4,0.4,0.133,0.643,0.1,0.04,0.08,0.08
When was the United Nations founded?,24.213997840881348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video gaming,14.624860763549805,0.113,0.2,0.2,0.1,0.519,0.079,0.022,0.043,0.065
3D printing technology,6.078503847122192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Who is the author of "1984"?,15.106815338134766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioinformatics,2.5304229259490967,0.404,0.4,0.4,0.333,0.494,0.408,0.105,0.211,0.526
Who is known for proposing the heliocentric model of the solar system?,Timeout,None,None,None,None,None,None,None,None,None
Describe the process of water erosion.,18.938236713409424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
When was the Berlin Wall constructed?,13.623253345489502,0.515,0.8,0.7,0.5,0.794,0.38,0.082,0.143,0.306
What is the meaning of the term "Habeas Corpus"?,12.757678985595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telecommunications,2.2202234268188477,0.139,0.2,0.1,0.1,0.398,0.107,0.038,0.038,0.115
internet,6.177826166152954,0.21,0.2,0.2,0.267,0.338,0.222,0.024,0.048,0.19
What are the characteristics of a chemical element?,4.926060438156128,0.0,0.0,0.0,0.033,0.042,0.025,0.0,0.0,0.02
Describe the structure of a plant cell.,12.826946496963501,0.21,0.6,0.3,0.167,0.645,0.127,0.061,0.061,0.102
Who painted "Starry Night"?,12.784858465194702,0.129,0.2,0.2,0.1,0.234,0.095,0.03,0.061,0.091
computer,5.4876697063446045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What is the structure of the Earth's layers?,8.206831216812134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
When did World War II end?,Timeout,None,None,None,None,None,None,None,None,None
When was the Gutenberg printing press invented?,21.73968482017517,0.593,1.0,1.0,0.533,0.883,0.421,0.109,0.217,0.348
medicine,5.5523576736450195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Describe the water cycle.,8.784003973007202,0.092,0.4,0.2,0.067,1.0,0.052,0.043,0.043,0.043
artificial intelligence,2.35092830657959,0.116,0.2,0.1,0.1,0.155,0.082,0.023,0.023,0.07
physics,5.8223230838775635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nanotechnology,2.765253782272339,0.572,0.6,0.8,0.7,0.794,0.546,0.064,0.17,0.447
When did the Black Death pandemic occur?,23.82078981399536,0.0,0.0,0.1,0.067,0.153,0.052,0.0,0.021,0.043
neuroscience,6.039362907409668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowboard,6.423706531524658,0.473,0.6,0.5,0.3,0.699,0.391,0.188,0.312,0.562
Who is the founder of modern psychology?,17.178881406784058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
