query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,7.08611536,0.574,0.8,0.9,0.567,0.841,0.448,0.087,0.196,0.37
"Who is considered the ""Father of the United States""?",12.59989667,0,0,0,0,0,0,0,0,0
economic,2.22649312,0.596,1,0.8,0.567,0.81,0.425,0.1,0.16,0.34
When was the United Nations founded?,8.911830664,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
video gaming,3.501138926,0.113,0.2,0.1,0.1,0.423,0.079,0.022,0.022,0.065
3D printing technology,1.832733631,0.085,0.2,0.1,0.067,0.201,0.054,0.023,0.023,0.045
"Who is the author of ""1984""?",3.137860775,0,0,0,0,0,0,0,0,0
bioinformatics,1.209157228,0.18,0.2,0.3,0.133,0.301,0.163,0.053,0.158,0.211
Who is known for proposing the heliocentric model of the solar system?,4.303607702,0.246,0.2,0.5,0.4,0.432,0.32,0.022,0.111,0.267
Describe the process of water erosion.,3.337786436,0.564,0.8,0.5,0.567,0.686,0.436,0.083,0.104,0.354
When was the Berlin Wall constructed?,2.617532015,0.492,0.8,0.6,0.467,0.664,0.355,0.082,0.122,0.286
"What is the meaning of the term ""Habeas Corpus""?",2.76337862,0.601,0.8,0.9,0.633,0.819,0.481,0.082,0.184,0.388
telecommunications,1.395020485,0.293,0.8,0.4,0.167,0.838,0.179,0.154,0.154,0.192
internet,2.215302944,0.471,0.8,0.7,0.4,0.75,0.334,0.095,0.167,0.286
What are the characteristics of a chemical element?,1.748892069,0.491,1,0.6,0.433,0.733,0.325,0.1,0.12,0.26
Describe the structure of a plant cell.,3.081114054,0.33,0.6,0.4,0.3,0.565,0.228,0.061,0.082,0.184
"Who painted ""Starry Night""?",2.483494282,0.311,0.4,0.4,0.267,0.384,0.254,0.061,0.121,0.242
computer,1.872596741,0.264,0.8,0.5,0.2,0.868,0.158,0.087,0.109,0.13
What is the structure of the Earth's layers?,1.864969969,0.374,0.4,0.6,0.433,0.589,0.351,0.045,0.136,0.295
When did World War II end?,12.35531092,0.109,0.2,0.2,0.1,0.46,0.075,0.02,0.04,0.06
When was the Gutenberg printing press invented?,2.827914715,0.529,0.6,0.5,0.6,0.59,0.473,0.065,0.109,0.391
medicine,1.821714401,0.453,1,0.9,0.367,0.959,0.293,0.111,0.2,0.244
Describe the water cycle.,2.545460463,0.214,0.6,0.3,0.167,0.5,0.13,0.064,0.064,0.106
artificial intelligence,1.092600107,0.321,0.6,0.5,0.267,0.491,0.219,0.07,0.116,0.186
physics,1.02670598,0.436,0.6,0.6,0.433,0.601,0.342,0.065,0.13,0.283
nanotechnology,1.0962286,0.587,1,0.8,0.533,0.827,0.415,0.106,0.17,0.34
When did the Black Death pandemic occur?,5.902786493,0.35,0.4,0.4,0.4,0.47,0.311,0.043,0.085,0.255
neuroscience,1.287533998,0.196,0.4,0.2,0.167,0.532,0.13,0.043,0.043,0.106
snowboard,1.075749636,0.394,0.8,0.6,0.2,0.859,0.261,0.25,0.375,0.375
Who is the founder of modern psychology?,3.168688059,0.134,0.2,0.2,0.133,0.443,0.101,0.02,0.041,0.082
Average,3.412987169,0.325133333,0.546666667,0.453333333,0.303366667,0.587866667,0.245533333,0.067866667,0.112133333,0.212166667
