query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,7.696877718,0.566,1,0.9,0.5,0.947,0.395,0.109,0.196,0.326
"Who is considered the ""Father of the United States""?",13.53487802,0,0,0,0,0,0,0,0,0
economic,2.269722462,0.571,1,0.8,0.533,0.814,0.4,0.1,0.16,0.32
When was the United Nations founded?,10.04211068,0.083,0.2,0.2,0.067,0.625,0.052,0.022,0.043,0.043
video gaming,3.320113182,0.083,0.2,0.2,0.067,0.611,0.052,0.022,0.043,0.043
3D printing technology,1.907634974,0.14,0.2,0.1,0.133,0.178,0.108,0.023,0.023,0.091
"Who is the author of ""1984""?",3.168096066,0,0,0,0,0,0,0,0,0
bioinformatics,1.16994977,0.18,0.2,0.1,0.133,0.267,0.163,0.053,0.053,0.211
Who is known for proposing the heliocentric model of the solar system?,4.494256496,0.218,0.2,0.5,0.3,0.388,0.24,0.022,0.111,0.2
Describe the process of water erosion.,3.452128172,0.625,0.8,0.7,0.667,0.788,0.513,0.083,0.146,0.417
When was the Berlin Wall constructed?,2.670277834,0.538,0.8,0.7,0.533,0.664,0.405,0.082,0.143,0.327
"What is the meaning of the term ""Habeas Corpus""?",2.763418674,0.518,0.6,0.5,0.6,0.7,0.455,0.061,0.102,0.367
telecommunications,1.303003788,0.293,0.8,0.4,0.167,0.836,0.179,0.154,0.154,0.192
internet,2.15053463,0.381,0.8,0.7,0.3,0.808,0.25,0.095,0.167,0.214
What are the characteristics of a chemical element?,1.701872826,0.351,0.8,0.5,0.3,0.712,0.225,0.08,0.1,0.18
Describe the structure of a plant cell.,3.061878443,0.273,0.6,0.4,0.233,0.64,0.177,0.061,0.082,0.143
"Who painted ""Starry Night""?",2.44456172,0.21,0.2,0.3,0.233,0.286,0.222,0.03,0.091,0.212
computer,1.868090868,0.264,0.8,0.5,0.2,0.877,0.158,0.087,0.109,0.13
What is the structure of the Earth's layers?,1.893110037,0.443,0.6,0.6,0.433,0.532,0.351,0.068,0.136,0.295
When did World War II end?,12.4391489,0.109,0.2,0.2,0.1,0.464,0.075,0.02,0.04,0.06
When was the Gutenberg printing press invented?,2.715272665,0.529,0.6,0.6,0.6,0.67,0.473,0.065,0.13,0.391
medicine,1.6364851,0.42,1,0.9,0.333,0.962,0.266,0.111,0.2,0.222
Describe the water cycle.,2.569778442,0.177,0.6,0.3,0.133,0.654,0.104,0.064,0.064,0.085
artificial intelligence,1.05711937,0.321,0.6,0.4,0.267,0.558,0.219,0.07,0.093,0.186
physics,1.118770361,0.414,0.6,0.5,0.4,0.559,0.316,0.065,0.109,0.261
nanotechnology,1.071101665,0.547,0.8,0.6,0.533,0.698,0.415,0.085,0.128,0.34
When did the Black Death pandemic occur?,6.112936258,0.387,0.6,0.5,0.367,0.484,0.286,0.064,0.106,0.234
neuroscience,1.290562868,0.196,0.4,0.4,0.167,0.618,0.13,0.043,0.085,0.106
snowboard,1.044674397,0.197,0.4,0.3,0.1,0.81,0.131,0.125,0.188,0.188
Who is the founder of modern psychology?,3.163082123,0.134,0.2,0.3,0.133,0.471,0.101,0.02,0.061,0.082
,3.504381617,0.3056,0.526666667,0.436666667,0.2844,0.587366667,0.2287,0.0628,0.1021,0.195533333
