query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,4.496719599,0.264,0.8,0.5,0.2,0.826,0.158,0.087,0.109,0.13
"Who is considered the ""Father of the United States""?",12.58335662,0,0,0,0,0,0,0,0,0
economic,1.992206097,0.519,1,0.8,0.467,0.855,0.35,0.1,0.16,0.28
When was the United Nations founded?,8.997396946,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
video gaming,2.852971315,0.083,0.2,0.2,0.067,0.643,0.052,0.022,0.043,0.043
3D printing technology,1.694502831,0.162,0.2,0.1,0.167,0.209,0.136,0.023,0.023,0.114
"Who is the author of ""1984""?",3.021080732,0,0,0,0,0,0,0,0,0
bioinformatics,1.098433733,0,0,0.2,0.133,0.16,0.163,0,0.105,0.211
Who is known for proposing the heliocentric model of the solar system?,4.026731253,0.3,0.4,0.5,0.3,0.471,0.24,0.044,0.111,0.2
Describe the process of water erosion.,3.514922857,0.605,0.8,0.8,0.633,0.81,0.487,0.083,0.167,0.396
When was the Berlin Wall constructed?,2.466044426,0.404,0.6,0.5,0.4,0.638,0.304,0.061,0.102,0.245
"What is the meaning of the term ""Habeas Corpus""?",2.645991325,0.58,0.8,0.7,0.6,0.711,0.455,0.082,0.143,0.367
telecommunications,1.214451075,0.182,0.6,0.3,0.1,1,0.107,0.115,0.115,0.115
internet,1.87528348,0.314,0.8,0.5,0.233,0.775,0.195,0.095,0.119,0.167
What are the characteristics of a chemical element?,1.561208248,0.4,1,0.5,0.333,0.7,0.25,0.1,0.1,0.2
Describe the structure of a plant cell.,2.784298182,0.173,0.6,0.3,0.133,0.746,0.101,0.061,0.061,0.082
"Who painted ""Starry Night""?",2.224148512,0.311,0.4,0.4,0.267,0.414,0.254,0.061,0.121,0.242
computer,1.749433994,0.264,0.8,0.5,0.2,0.794,0.158,0.087,0.109,0.13
What is the structure of the Earth's layers?,1.67845273,0.374,0.4,0.6,0.433,0.53,0.351,0.045,0.136,0.295
When did World War II end?,10.56173229,0.109,0.2,0.2,0.1,0.466,0.075,0.02,0.04,0.06
When was the Gutenberg printing press invented?,2.427638769,0.654,0.8,0.7,0.7,0.729,0.553,0.087,0.152,0.457
medicine,1.527546406,0.315,0.6,0.4,0.267,0.574,0.214,0.067,0.089,0.178
Describe the water cycle.,2.450135231,0.177,0.6,0.3,0.133,0.671,0.104,0.064,0.064,0.085
artificial intelligence,1.075365543,0.321,0.6,0.5,0.267,0.588,0.219,0.07,0.116,0.186
physics,0.982171297,0.39,0.6,0.6,0.367,0.583,0.289,0.065,0.13,0.239
nanotechnology,0.941923618,0.523,0.8,0.6,0.5,0.645,0.389,0.085,0.128,0.319
When did the Black Death pandemic occur?,5.690269232,0.363,0.6,0.5,0.333,0.619,0.26,0.064,0.106,0.213
neuroscience,1.119707823,0.131,0.4,0.3,0.1,0.792,0.078,0.043,0.064,0.064
snowboard,1.070386887,0.197,0.4,0.3,0.1,0.81,0.131,0.125,0.188,0.188
Who is the founder of modern psychology?,2.934617758,0.11,0.2,0.2,0.1,0.491,0.076,0.02,0.041,0.061
Average,3.108637627,0.2757,0.513333333,0.403333333,0.255533333,0.608333333,0.205833333,0.059933333,0.095466667,0.1763
