query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
genetics,3.651655674,0.642,1,0.9,0.6,0.924,0.473,0.109,0.196,0.391
"Who is considered the ""Father of the United States""?",11.87768936,0,0,0,0,0,0,0,0,0
economic,2.21857214,0.571,1,0.8,0.533,0.81,0.4,0.1,0.16,0.32
When was the United Nations founded?,8.575819492,0.046,0.2,0.1,0.033,1,0.026,0.022,0.022,0.022
video gaming,3.078414917,0.083,0.2,0.1,0.067,0.545,0.052,0.022,0.022,0.043
3D printing technology,1.695888042,0.048,0.2,0.1,0.033,0.333,0.027,0.023,0.023,0.023
"Who is the author of ""1984""?",2.964025974,0,0,0,0,0,0,0,0,0
bioinformatics,1.102762222,0.18,0.2,0.2,0.133,0.3,0.163,0.053,0.105,0.211
Who is known for proposing the heliocentric model of the solar system?,4.20573473,0.228,0.2,0.5,0.333,0.381,0.266,0.022,0.111,0.222
Describe the process of water erosion.,3.229977608,0.519,0.8,0.6,0.5,0.684,0.384,0.083,0.125,0.312
When was the Berlin Wall constructed?,2.480821133,0.355,0.8,0.5,0.3,0.612,0.228,0.082,0.102,0.184
"What is the meaning of the term ""Habeas Corpus""?",2.483884811,0.465,0.6,0.4,0.5,0.604,0.38,0.061,0.082,0.306
telecommunications,1.394126892,0.293,0.8,0.4,0.167,0.823,0.179,0.154,0.154,0.192
internet,1.928682327,0.571,0.8,0.8,0.533,0.748,0.444,0.095,0.19,0.381
What are the characteristics of a chemical element?,1.575940371,0.3,0.6,0.4,0.267,0.599,0.2,0.06,0.08,0.16
Describe the structure of a plant cell.,2.76349473,0.128,0.4,0.3,0.1,0.667,0.076,0.041,0.061,0.061
"Who painted ""Starry Night""?",2.316602945,0,0,0.1,0.233,0.204,0.222,0,0.03,0.212
computer,1.667230368,0.273,1,0.5,0.2,0.875,0.158,0.109,0.109,0.13
What is the structure of the Earth's layers?,1.704210758,0.341,0.4,0.5,0.367,0.449,0.297,0.045,0.114,0.25
When did World War II end?,10.80993247,0.109,0.2,0.2,0.1,0.455,0.075,0.02,0.04,0.06
When was the Gutenberg printing press invented?,2.471481323,0.456,0.6,0.5,0.467,0.522,0.368,0.065,0.109,0.304
medicine,1.569247007,0.485,1,0.9,0.4,0.888,0.32,0.111,0.2,0.267
Describe the water cycle.,2.376572132,0.131,0.4,0.3,0.1,0.681,0.078,0.043,0.064,0.064
artificial intelligence,0.99533844,0.181,0.2,0.2,0.2,0.394,0.165,0.023,0.047,0.14
physics,1.020757437,0.39,0.6,0.5,0.367,0.558,0.289,0.065,0.109,0.239
nanotechnology,1.038409948,0.613,1,1,0.567,0.926,0.442,0.106,0.213,0.362
When did the Black Death pandemic occur?,5.541143894,0.315,0.4,0.4,0.333,0.469,0.26,0.043,0.085,0.213
neuroscience,1.285991192,0.309,0.6,0.5,0.267,0.698,0.208,0.064,0.106,0.17
snowboard,1.092688799,0.286,0.8,0.4,0.133,1,0.174,0.25,0.25,0.25
Who is the founder of modern psychology?,2.881536484,0.09,0.4,0.2,0.067,0.7,0.051,0.041,0.041,0.041
Average,3.066621121,0.280266667,0.513333333,0.41,0.263333333,0.594966667,0.2135,0.063733333,0.098333333,0.184333333
